plate,plate_label,region,dose_gy,sigma_dose_gy,sigma_dose_pct,sigma_source,ndfeb_pct,sigma_ndfeb,smco_pct,sigma_smco,diff_pct,sigma_diff
15,Y-15,SE Arc,11.7399,1.17399,10.0,Landauer_10pct,-0.16505871565574967,0.7071067811865476,0.025690695054007923,0.7071067811865476,-0.1907494107097576,1.0
3,Y-3,SE Arc,17.28798,1.7287980000000003,10.0,Landauer_10pct,-0.1376179455754529,0.7071067811865476,-0.02921946472005601,0.7071067811865476,-0.10839848085539688,1.0
23,Y-23,SE Arc,41.885290000000005,1.1703999999999997,2.794298427920636,rod_propagated,-0.09731211756266699,0.7071067811865476,-0.061815853327562134,0.7071067811865476,-0.03549626423510485,1.0
26,Y-26,SE Arc,17.023239999999998,1.702324,10.0,Landauer_10pct,0.000616318076429671,0.7071067811865476,0.047587231739873864,0.7071067811865476,-0.04697091366344419,1.0
40,Y-40,SE Arc,13.716600000000003,1.3716600000000003,10.0,Landauer_10pct,-0.0880390099591137,0.7071067811865476,0.052570509942457905,1.0,-0.1406095199015716,1.224744871391589
39,Y-39,NE Arc,69.65507,7.873599999999999,11.303699788113054,rod_propagated,-0.6823717681669668,0.7071067811865476,0.06150928305025294,0.7071067811865476,-0.7438810512172197,1.0
7,Y-7,NE Arc,472.07029000000006,103.40990547815731,21.90561610605855,rod_propagated,-0.4135280525392537,0.7071067811865476,-0.1079780955169932,0.7071067811865476,-0.3055499570222605,1.0
18,Y-18,NE Arc,678.1424499999999,75.295207268765,11.103154988861855,rod_propagated,-0.2641786945730269,0.7071067811865476,-0.16852787969027097,0.7071067811865476,-0.09565081488275592,1.0
21,Y-21,NE Arc,1665.0836700000002,503.72510094920284,30.252239573594686,rod_propagated,-0.24478632035411907,0.7071067811865476,-0.037864852677570594,0.7071067811865476,-0.20692146767654848,1.0
9,Y-9,NE Arc,1640.28409,291.9758809952383,17.800323905795995,rod_propagated,-0.3204529512672479,0.7071067811865476,-0.08612058943304701,0.7071067811865476,-0.23433236183420086,1.0
38,Y-38,NW Arc,9.627830000000001,0.9627830000000002,10.0,Landauer_10pct,-0.3741367595764383,0.7071067811865476,0.13569637914512359,0.7071067811865476,-0.5098331387215619,1.0
6,Y-6,NW Arc,440.87066000000004,87.51678952925293,19.850899020872227,rod_propagated,-0.2054908879966949,0.7071067811865476,0.09166178592502922,0.7071067811865476,-0.2971526739217241,1.0
36,Y-36,NW Arc,946.0670499999999,291.325200407422,30.79329318227731,rod_propagated,-0.20643447873951246,0.7071067811865476,0.08351911172283794,0.7071067811865476,-0.28995359046235036,1.0
25,Y-25,NW Arc,1516.2626433333332,523.9327724693378,34.554222830256535,rod_propagated,-0.22327575312482,0.7071067811865476,-0.04081190971845852,0.7071067811865476,-0.1824638434063615,1.0
34,Y-34,NW Arc,502.20000999999996,16.279199999999996,3.241576996384368,rod_propagated,-0.20821168366057552,1.0,-0.03389108235610686,0.7071067811865476,-0.17432060130446866,1.224744871391589
13,Y-13,SW Arc,29.983590000000003,2.9983590000000007,10.0,Landauer_10pct,-0.7273643585968427,0.7071067811865476,-0.4487922882610762,0.7071067811865476,-0.2785720703357665,1.0
32,Y-32,SW Arc,348.89765,24.471199999999985,7.013862088208386,rod_propagated,-0.4354465748632299,0.7071067811865476,-0.11425732359272182,0.7071067811865476,-0.32118925127050807,1.0
19,Y-19,SW Arc,941.2764099999999,88.64051887893514,9.417055174997442,rod_propagated,-0.36865743513452653,0.7071067811865476,-0.08478611041678444,0.7071067811865476,-0.2838713247177421,1.0
10,Y-10,SW Arc,1275.8054000000002,165.33548440366522,12.95930275915631,rod_propagated,-0.07258594207167965,0.03361964595490168,0.02177387306478977,0.06535840817778556,-0.09435981513646942,0.07349831367906996
11,Y-11,SW Arc,517.11703,19.436000000000018,3.7585302499126785,rod_propagated,-0.005292041327401283,0.7071067811865476,0.013406723808202039,0.7071067811865476,-0.018698765135603323,1.0
12,Y-12,Labyrinth,0.31251000000000007,0.03125100000000001,10.0,Landauer_10pct,-0.11557507956453475,0.7071067811865476,-0.0006530001058835527,0.7071067811865476,-0.1149220794586512,1.0
17,Y-17,North Linac,7111.006693333333,1074.7609299522387,15.114047508348458,rod_propagated,0.022154330197057828,0.7071067811865476,0.028809862387776435,0.7071067811865476,-0.006655532190718606,1.0
4,Y-4,North Linac,8.59631,0.8596310000000001,10.0,Landauer_10pct,-0.18576768641536312,0.7071067811865476,0.18192727591814437,0.7071067811865476,-0.3676949623335075,1.0
16,Y-16,North Linac,15837.346686666666,2679.1598820594163,16.916721816255873,rod_propagated,-0.07193213344155684,0.7071067811865476,0.07984259641909558,0.7071067811865476,-0.15177472986065244,1.0
22,Y-22,North Linac,23451.43281,2950.424036925889,12.580996908929972,rod_propagated,-0.04146602615684772,0.7071067811865476,0.11058903751010404,0.7071067811865476,-0.15205506366695176,1.0
20,Y-20,Labyrinth,1.07311,0.107311,10.0,Landauer_10pct,-0.20494939296106968,0.7071067811865476,-0.029145232291398378,0.7071067811865476,-0.1758041606696713,1.0
24,Y-24,South Linac,6299.261323333334,902.8298302347591,14.332312693403473,rod_propagated,-0.05148256579501606,0.7071067811865476,0.047242491359291955,0.7071067811865476,-0.09872505715430802,1.0
5,Y-5,South Linac,37.045429999999996,5.0,13.496941458096181,rod_propagated,-0.05100866541469065,0.7071067811865476,0.20918730779643713,0.7071067811865476,-0.26019597321112775,1.0
1,Y-1,South Linac,14713.988000000001,1707.5329958488153,11.604827976268671,rod_propagated,-0.11243274749964968,0.7071067811865476,0.11238090774250573,0.7071067811865476,-0.2248136552421554,1.0
30,Y-30,South Linac,22101.56321666667,2313.939670178867,10.469574697023862,rod_propagated,-0.29868170424193197,0.7071067811865476,-0.16067511695442138,0.7071067811865476,-0.13800658728751058,1.0
