plate,region,sub_location,line,cum_body_mrem,cum_photon_mrem,cum_beta_mrem,cum_neutron_mrem,cum_nt_mrem,cum_nf_mrem,is_lower_bound,n_saturated,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff
15,SE Arc,upstream Girder 27,1,1193510.0,1173990.0,0.0,19520.0,1570.0,17950.0,False,0,-0.1814539881685742,0.019740469655421797,0.13579328379797084,-0.020297998524463196,-0.0808567592565762,0.057747642636753825,-0.13860440189333004
3,SE Arc,upstream Girder 27,2,2750568.0,1728384.0,414.0,21770.0,1710.0,20060.0,True,1,-0.07134093098470436,-0.035451421527745296,0.09562032867281131,-0.08998055894762406,-0.05339617625622482,0.002819884862593623,-0.056216061118818446
23,SE Arc,upstream Girder 27,3,4299449.0,1027440.0,240209.0,31800.0,2360.0,29440.0,True,3,-0.05617648347534183,0.030065801098546837,-0.06077516355597444,0.0012012626194179512,-0.013055341188397495,-0.029786950468278246,0.016731609279880752
26,SE Arc,upstream Girder 27,4,1726554.0,1411640.0,290684.0,24230.0,1830.0,22400.0,False,0,0.11279304883889014,0.16268470481941766,0.04222445632594887,0.1571787713492406,0.1377388768291539,0.09970161383759474,0.038037262991559156
40,SE Arc,upstream Girder 27,5,1393390.0,1319775.0,51885.0,21730.0,1550.0,20180.0,False,0,0.054896116230975976,0.04302380723343804,nan,0.10468748780956592,0.04895996173220701,0.10468748780956592,-0.05572752607735892
39,NE Arc,above JD3A06,1,3197657.0,2152023.0,30604.0,15030.0,1500.0,13500.0,True,1,-0.6923298296940702,-0.40002573846041717,0.4738843816982015,-0.24662254752221235,-0.5461777840772437,0.11363091708799458,-0.6598087011652383
7,NE Arc,above JD3A06,2,6547939.0,1526744.0,1395.0,19800.0,1620.0,18180.0,True,5,-0.3354879555192911,-0.32359096672827387,-0.04302591158770482,-0.10890206253771338,-0.3295394611237825,-0.0759639870627091,-0.2535754740610734
18,NE Arc,above JD3A06,3,6903455.0,875361.0,794.0,27300.0,2320.0,24980.0,True,6,-0.2718084447234373,-0.08831293451439638,0.014058910152489747,-0.28712526347882794,-0.18006068961891683,-0.1365331766631691,-0.04352751295574772
21,NE Arc,above JD3A06,4,7508147.0,494551.0,726.0,12870.0,1120.0,11750.0,True,7,-0.14980085459893566,-0.06619745303289275,-0.006970976716604411,0.03538101226906862,-0.10799915381591421,0.014205017776232103,-0.12220417159214632
9,NE Arc,above JD3A06,5,7534059.0,501300.0,22629.0,10130.0,880.0,9250.0,True,7,-0.08869416186733442,-0.27886284826292285,0.08636341493432127,-0.15451512532765113,-0.18377850506512863,-0.03407585519666493,-0.1497026498684637
38,NW Arc,above MJC4A24,1,970933.0,961201.0,1582.0,8150.0,570.0,7580.0,False,0,-0.2184371353302425,-0.25662475904746324,0.34519009926485417,0.03052321461534064,-0.23753094718885287,0.1878566569400974,-0.42538760412895027
6,NW Arc,above MJC4A24,2,6125186.0,1110931.0,765.0,13490.0,870.0,12620.0,True,5,-0.22243524645965082,-0.020210773889848335,0.13513023671683178,0.1123495160712494,-0.12132301017474958,0.12373987639404059,-0.24506288656879016
36,NW Arc,above MJC4A24,3,6371355.0,361079.0,726.0,9550.0,710.0,8840.0,True,6,-0.08635675248205817,-0.05283597623788458,0.2826943735255929,-0.011389952343625356,-0.06959636435997138,0.13565221059098378,-0.20524857495095516
25,NW Arc,above MJC4A24,4,6528261.0,519119.0,422.0,8720.0,590.0,8130.0,True,6,-0.1646396050262246,-0.008273811513760273,0.13672966193126157,-0.11421681068072102,-0.08645670826999244,0.011256425625270274,-0.0977131338952627
34,NW Arc,above MJC4A24,5,6569021.0,559645.0,216.0,9160.0,590.0,8570.0,True,6,-0.07792211369849589,nan,0.00391486183467642,0.03244685420235655,-0.07792211369849589,0.018180858018516488,-0.09610297171701238
13,SW Arc,above MJC4A14,1,3022399.0,2998359.0,0.0,24040.0,2030.0,22010.0,False,0,-0.6408099315508462,-0.5416668574813034,-0.3451484497200901,-0.4487244867609672,-0.5912383945160748,-0.39693646824052864,-0.1943019262755462
32,SW Arc,above MJC4A14,2,6190535.0,1160210.0,195.0,30130.0,2350.0,27780.0,True,5,-0.37509783729586493,-0.32785367645927854,0.02704880539084827,-0.1915392604914119,-0.3514757568775717,-0.08224522755028181,-0.2692305293272899
19,SW Arc,above MJC4A14,3,6657281.0,646143.0,3258.0,7880.0,540.0,7340.0,True,6,-0.3436426376434173,-0.22561508893408858,-0.044818227950819446,-0.06071091050822498,-0.2846288632887529,-0.05276456922952222,-0.2318642940592307
10,SW Arc,above MJC4A14,4,6566550.0,522488.0,30432.0,13630.0,970.0,12660.0,True,6,0.010171138432702929,0.1123713248285921,0.08128242151510233,0.06381022292777791,0.061271231630647516,0.07254632222144011,-0.011275090590792597
11,SW Arc,above MJC4A14,5,6544923.0,513957.0,9766.0,21200.0,1700.0,19500.0,True,6,0.056279278377321225,0.10180376545726462,0.08351177859886273,0.007407690473384371,0.07904152191729293,0.04545973453612355,0.033581787381169376
12,Labyrinth,North Access Labyrinth,0,59681.0,31251.0,0.0,28430.0,2120.0,26310.0,False,0,-0.05016912848201637,0.09295154999129632,-0.0016829523765206555,0.10455546007827915,0.021391210754639973,0.05143625385087925,-0.030045043096239277
17,North Linac,NL NDX @ Girder 5,0,13000114.0,114.0,0.0,0.0,0.0,0.0,True,13,-0.03478045164959658,0.3534154547408909,0.09083306964814673,0.07099585721189113,0.15931750154564717,0.08091446343001893,0.07840303811562824
4,North Linac,NL Inj/Ret Crossover (0L05 NDX),0,913801.0,675746.0,183885.0,54170.0,3460.0,50710.0,False,0,-0.2441397545317173,0.14636066967701672,0.015279250135923088,0.45294402026325165,-0.04888954242735029,0.23411163519958736,-0.28300117762693766
16,North Linac,NL NDX @ Girder 23,0,13143598.0,50709.0,64919.0,27970.0,1940.0,26030.0,True,13,0.030225790584619504,0.09995740258832114,0.13345585924434597,0.1304917011663795,0.06509159658647032,0.13197378020536274,-0.06688218361889242
22,North Linac,NL NDX @ Girder 26,0,13078025.0,43623.0,24302.0,10100.0,610.0,9490.0,True,13,0.05621992661329212,0.13497962278000747,0.038448034373436295,0.2870244396120169,0.09559977469664979,0.1627362369927266,-0.06713646229607681
20,Labyrinth,South Access Labyrinth,0,126601.0,107311.0,0.0,19290.0,1860.0,17430.0,False,0,-0.11899040053699528,-0.01722361373319008,0.11405674832501753,-0.06819838797048737,-0.06810700713509268,0.022929180177265078,-0.09103618731235777
24,South Linac,SL NDX @ Girder 4,0,14019799.0,39.0,0.0,19760.0,1370.0,18390.0,True,14,0.02823247384859511,0.14290887947941192,0.048573620592294676,0.15013976717401717,0.08557067666400352,0.09935669388315592,-0.013786017219152402
5,South Linac,SL NDX @ Girder 6,0,8468608.0,1090596.0,1322472.0,55540.0,3780.0,51760.0,True,6,0.07987118921434333,0.09221256143847356,0.44074475988679007,0.08202697354889485,0.08604187532640845,0.2613858667178425,-0.17534399139143403
1,South Linac,SL NDX @ Girder 23,0,11149034.0,117599.0,29605.0,1830.0,120.0,1710.0,True,11,0.09045314338307371,-0.04139545100751912,0.269548031697693,0.059510049508405966,0.024528846187777297,0.16452904060304946,-0.14000019441527217
30,South Linac,SL NDX @ Girder 25,0,11181769.0,51023.0,128896.0,1850.0,130.0,1720.0,True,11,-0.20007601437983608,-0.12386134778481278,-0.18185908967136194,-0.03547934606626569,-0.16196868108232443,-0.10866921786881381,-0.05329946321351062
