plate,plate_label,region,sub_location,line,ai_photon_rem,ai_photon_gy,ai_neutron_rem,ai_sigma_photon_rem,ai_sigma_neutron_rem,ai_sigma_photon_gy,osl_body_mrem,osl_photon_mrem,osl_neutron_mrem,osl_nt_mrem,osl_nf_mrem,osl_n_saturated,osl_is_lower_bound,N42EH_pct,N52SH_pct,SmCo33H_pct,SmCo35_pct,ndfeb_mean_pct,smco_mean_pct,intra_plate_diff,sem_N42EH,sem_N52SH,sem_SmCo33H,sem_SmCo35,sigma_ndfeb_pct,sigma_smco_pct,sigma_diff_pct
15,Y-15,SE Arc,upstream Girder 27,1,1173.99,11.7399,19.52,0.0,0.0,1.17399,1193510.0,1173990.0,19520.0,1570.0,17950.0,0,False,-0.2615491103445808,-0.06856832096691856,0.10371133160452964,-0.05232994149651379,-0.16505871565574967,0.025690695054007923,-0.1907494107097576,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
3,Y-3,SE Arc,upstream Girder 27,2,1728.798,17.28798,21.770000000000003,0.0,0.0,1.7287980000000003,2750568.0,1728384.0,21770.0,1710.0,20060.0,1,True,-0.151524408672979,-0.12371148247792679,0.06355124726996642,-0.12199017671007843,-0.1376179455754529,-0.02921946472005601,-0.10839848085539688,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
23,Y-23,SE Arc,upstream Girder 27,3,4188.529,41.885290000000005,31.8,117.03999999999996,0.0,1.1703999999999997,4299449.0,1027440.0,31800.0,2360.0,29440.0,3,True,-0.13637212922582218,-0.0582521058995118,-0.09279413827330103,-0.03083756838182323,-0.09731211756266699,-0.061815853327562134,-0.03549626423510485,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
26,Y-26,SE Arc,upstream Girder 27,4,1702.3239999999998,17.023239999999998,24.229999999999997,0.0,0.0,1.702324,1726554.0,1411640.0,24230.0,1830.0,22400.0,0,False,-0.017745196861713327,0.01897783301457267,-0.009860001741030595,0.10503446522077832,0.000616318076429671,0.047587231739873864,-0.04697091366344419,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
40,Y-40,SE Arc,upstream Girder 27,5,1371.6600000000003,13.716600000000003,21.730000000000004,0.0,0.0,1.3716600000000003,1393390.0,1319775.0,21730.0,1550.0,20180.0,0,False,-0.07556663697975223,-0.10051138293847518,nan,0.052570509942457905,-0.0880390099591137,0.052570509942457905,-0.1406095199015716,1.0,1.0,nan,1.0,0.7071067811865476,1.0,1.224744871391589
39,Y-39,NE Arc,above JD3A06,1,6965.507,69.65507,15.03,787.3599999999999,0.0,7.873599999999999,3197657.0,2152023.0,15030.0,1500.0,13500.0,1,True,-0.8218182662250585,-0.5429252701088751,0.42157519079061306,-0.2985566246901072,-0.6823717681669668,0.06150928305025294,-0.7438810512172197,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
7,Y-7,NE Arc,above JD3A06,2,47207.029,472.07029000000006,19.800000000000004,10340.99054781573,0.0,103.40990547815731,6547939.0,1526744.0,19800.0,1620.0,18180.0,5,True,-0.4154594797274984,-0.41159662535100894,-0.07505057288954596,-0.14090561814444044,-0.4135280525392537,-0.1079780955169932,-0.3055499570222605,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
18,Y-18,NE Arc,above JD3A06,3,67814.245,678.1424499999999,27.3,7529.520726876499,0.0,75.295207268765,6903455.0,875361.0,27300.0,2320.0,24980.0,6,True,-0.35183106583097934,-0.17652632331507442,-0.017984040239231155,-0.3190717191413108,-0.2641786945730269,-0.16852787969027097,-0.09565081488275592,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
21,Y-21,NE Arc,above JD3A06,4,166508.36700000003,1665.0836700000002,12.870000000000001,50372.51009492028,0.0,503.72510094920284,7508147.0,494551.0,12870.0,1120.0,11750.0,7,True,-0.27999670102723984,-0.20957593968099833,-0.0590298224235763,-0.016699882931564883,-0.24478632035411907,-0.037864852677570594,-0.20692146767654848,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
9,Y-9,NE Arc,above JD3A06,5,164028.409,1640.28409,10.129999999999999,29197.58809952383,0.0,291.9758809952383,7534059.0,501300.0,10130.0,880.0,9250.0,7,True,-0.21896968602938727,-0.4219362165051085,0.03425597703307749,-0.2064971558991715,-0.3204529512672479,-0.08612058943304701,-0.23433236183420086,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
38,Y-38,NW Arc,above MJC4A24,1,962.783,9.627830000000001,8.15,0.0,0.0,0.9627830000000002,970933.0,961201.0,8150.0,570.0,7580.0,0,False,-0.34854348610664004,-0.3997300330462366,0.29294790978586194,-0.02155515149561478,-0.3741367595764383,0.13569637914512359,-0.5098331387215619,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
6,Y-6,NW Arc,above MJC4A24,2,44087.066000000006,440.87066000000004,13.489999999999998,8751.678952925293,0.0,87.51678952925293,6125186.0,1110931.0,13490.0,870.0,12620.0,5,True,-0.30249748497804235,-0.10848429101534747,0.10304849695336633,0.08027507489669211,-0.2054908879966949,0.09166178592502922,-0.2971526739217241,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
36,Y-36,NW Arc,above MJC4A24,3,94606.70499999999,946.0670499999999,9.55,29132.5200407422,0.0,291.325200407422,6371355.0,361079.0,9550.0,710.0,8840.0,6,True,-0.21663532441964195,-0.19623363305938296,0.23048472086817426,-0.06344649742249839,-0.20643447873951246,0.08351911172283794,-0.28995359046235036,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
25,Y-25,NW Arc,above MJC4A24,4,151626.26433333333,1516.2626433333332,8.72,52393.27724693378,0.0,523.9327724693378,6528261.0,519119.0,8720.0,590.0,8130.0,6,True,-0.29481610303371086,-0.15173540321592918,0.08459600211528653,-0.16621982155220358,-0.22327575312482,-0.04081190971845852,-0.1824638434063615,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
34,Y-34,NW Arc,above MJC4A24,5,50220.001,502.20000999999996,9.160000000000002,1627.9199999999996,0.0,16.279199999999996,6569021.0,559645.0,9160.0,590.0,8570.0,6,True,-0.20821168366057552,nan,-0.048149651309261576,-0.019632513402952148,-0.20821168366057552,-0.03389108235610686,-0.17432060130446866,1.0,nan,1.0,1.0,1.0,0.7071067811865476,1.224744871391589
13,Y-13,SW Arc,above MJC4A14,1,2998.3590000000004,29.983590000000003,24.04,0.0,0.0,2.9983590000000007,3022399.0,2998359.0,24040.0,2030.0,22010.0,0,False,-0.7703655454816166,-0.6843631717120687,-0.3970312318648173,-0.5005533446573351,-0.7273643585968427,-0.4487922882610762,-0.2785720703357665,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
32,Y-32,SW Arc,above MJC4A14,2,34889.765,348.89765,30.130000000000003,2447.1199999999985,0.0,24.471199999999985,6190535.0,1160210.0,30130.0,2350.0,27780.0,5,True,-0.4550375782488958,-0.4158555714775641,-0.004998306761462845,-0.2235163404239808,-0.4354465748632299,-0.11425732359272182,-0.32118925127050807,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
19,Y-19,SW Arc,above MJC4A14,3,94127.64099999999,941.2764099999999,3282.103333333333,8864.051887893515,335.8464844386498,88.64051887893514,6657281.0,646143.0,7880.0,540.0,7340.0,6,True,-0.42360761847578976,-0.31370725179326325,-0.07684231502234468,-0.09272990581122419,-0.36865743513452653,-0.08478611041678444,-0.2838713247177421,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
10,Y-10,SW Arc,above MJC4A14,4,127580.54000000001,1275.8054000000002,1507.1273333333334,16533.54844036652,55.178666666666686,165.33548440366522,6566550.0,522488.0,13630.0,970.0,12660.0,6,True,-0.11019083129063457,-0.034981052852724716,0.02781658198990944,0.015731164139670104,-0.07258594207167965,0.02177387306478977,-0.09435981513646942,0.028301001364513426,0.06099324305443642,0.1172093644528762,0.057869257492117014,0.03361964595490168,0.06535840817778556,0.07349831367906996
11,Y-11,SW Arc,above MJC4A14,5,51711.703,517.11703,21.200000000000003,1943.6000000000017,0.0,19.436000000000018,6544923.0,513957.0,21200.0,1700.0,19500.0,6,True,-0.02400660268857696,0.013422520033774395,0.05144657658730731,-0.02463312897090323,-0.005292041327401283,0.013406723808202039,-0.018698765135603323,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
12,Y-12,Labyrinth,North Access Labyrinth,0,31.251000000000005,0.31251000000000007,1028.4299999999998,0.0,0.0,0.03125100000000001,59681.0,31251.0,28430.0,2120.0,26310.0,0,False,-0.18049488588720677,-0.05065527324186273,-0.05374455115984596,0.05243855094807885,-0.11557507956453475,-0.0006530001058835527,-0.1149220794586512,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
17,Y-17,North Linac,NL NDX @ Girder 5,0,711100.6693333333,7111.006693333333,47406.70955555555,107476.09299522387,7165.072866348258,1074.7609299522387,13000114.0,114.0,0.0,0.0,0.0,13,True,-0.16512627453109457,0.20943493492521023,0.038723304734014946,0.01889642004153792,0.022154330197057828,0.028809862387776435,-0.006655532190718606,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
4,Y-4,North Linac,NL Inj/Ret Crossover (0L05 NDX),0,859.631,8.59631,54.169999999999995,0.0,0.0,0.8596310000000001,913801.0,675746.0,54170.0,3460.0,50710.0,0,False,-0.37421259136131974,0.0026772185305934887,-0.036791179589814975,0.4006457314261037,-0.18576768641536312,0.18192727591814437,-0.3676949623335075,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
16,Y-16,North Linac,NL NDX @ Girder 23,0,1583734.6686666666,15837.346686666666,105445.75111111111,267915.9882059416,17845.460547062772,2679.1598820594163,13143598.0,50709.0,27970.0,1940.0,26030.0,13,True,-0.10020479469898558,-0.043659472184128106,0.08132390385105241,0.07836128898713875,-0.07193213344155684,0.07984259641909558,-0.15177472986065244,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
22,Y-22,North Linac,NL NDX @ Girder 26,0,2345143.281,23451.43281,156342.88333333336,295042.4036925889,19669.49357950593,2950.424036925889,13078025.0,43623.0,10100.0,610.0,9490.0,13,True,-0.07424455272931775,-0.008687499584377693,-0.013634457594804479,0.23481253261501256,-0.04146602615684772,0.11058903751010404,-0.15205506366695176,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
20,Y-20,Labyrinth,South Access Labyrinth,0,107.311,1.07311,19.29,0.0,0.0,0.107311,126601.0,107311.0,19290.0,1860.0,17430.0,0,False,-0.24922642107791798,-0.16067236484422137,0.061934892588994025,-0.12022535717179078,-0.20494939296106968,-0.029145232291398378,-0.1758041606696713,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
24,Y-24,South Linac,SL NDX @ Girder 4,0,629926.1323333334,6299.261323333334,41250.91488888889,90282.98302347591,5885.510868231727,902.8298302347591,14019799.0,39.0,19760.0,1370.0,18390.0,14,True,-0.10219551232592741,-0.0007696192641047043,-0.003514143006748343,0.09799912572533226,-0.05148256579501606,0.047242491359291955,-0.09872505715430802,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
5,Y-5,South Linac,SL NDX @ Girder 6,0,3704.5429999999997,37.045429999999996,49.230000000000004,500.0,0.0,5.0,8468608.0,1090596.0,55540.0,3780.0,51760.0,6,True,-0.050624129287152646,-0.051393201542228664,0.38845282228652556,0.0299217933063487,-0.05100866541469065,0.20918730779643713,-0.26019597321112775,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
1,Y-1,South Linac,SL NDX @ Girder 23,0,1471398.8,14713.988000000001,98091.72666666668,170753.29958488152,11383.553305658768,1707.5329958488153,11149034.0,117599.0,1830.0,120.0,1710.0,11,True,-0.040055973052619875,-0.1848095219466795,0.2173452233511996,0.007416592133811843,-0.11243274749964968,0.11238090774250573,-0.2248136552421554,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
30,Y-30,South Linac,SL NDX @ Girder 25,0,2210156.321666667,22101.56321666667,147342.6211111111,231393.9670178867,15426.264467859115,2313.939670178867,11181769.0,51023.0,1850.0,130.0,1720.0,11,True,-0.3302063064373124,-0.2671571020465515,-0.23382688429827342,-0.08752334961056932,-0.29868170424193197,-0.16067511695442138,-0.13800658728751058,1.0,1.0,1.0,1.0,0.7071067811865476,0.7071067811865476,1.0
