plate,slot,sample_id,material,region,date,pct_change
1,1,Y-1-1,SmCo33H,South Linac,2025-07-30,0.4162
1,1,Y-1-1,SmCo33H,South Linac,2025-08-27,0.0855
1,1,Y-1-1,SmCo33H,South Linac,2025-10-21,0.1135
1,1,Y-1-1,SmCo33H,South Linac,2026-01-12,0.2173
1,2,Y-1-2,N52SH,South Linac,2025-07-30,-0.0902
1,2,Y-1-2,N52SH,South Linac,2025-08-27,-0.2398
1,2,Y-1-2,N52SH,South Linac,2025-10-21,-0.3966
1,2,Y-1-2,N52SH,South Linac,2026-01-12,-0.1848
1,3,Y-1-3,SmCo35,South Linac,2025-07-30,0.044
1,3,Y-1-3,SmCo35,South Linac,2025-08-27,-0.1578
1,3,Y-1-3,SmCo35,South Linac,2025-10-21,-0.1135
1,3,Y-1-3,SmCo35,South Linac,2026-01-12,0.0074
1,4,Y-1-4,N42EH,South Linac,2025-07-30,0.0196
1,4,Y-1-4,N42EH,South Linac,2025-08-27,-0.1731
1,4,Y-1-4,N42EH,South Linac,2025-10-21,-0.2977
1,4,Y-1-4,N42EH,South Linac,2026-01-12,-0.0401
10,1,Y-10-1,SmCo35,SW Arc,2025-07-30,0.0951
10,1,Y-10-1,SmCo35,SW Arc,2025-08-27,0.0707
10,1,Y-10-1,SmCo35,SW Arc,2025-10-29,0.1563
10,1,Y-10-1,SmCo35,SW Arc,2026-01-12,0.0157
10,2,Y-10-2,N42EH,SW Arc,2025-07-30,-0.0082
10,2,Y-10-2,N42EH,SW Arc,2025-08-27,-0.1022
10,2,Y-10-2,N42EH,SW Arc,2025-10-29,0.0678
10,2,Y-10-2,N42EH,SW Arc,2026-01-12,-0.1102
10,3,Y-10-3,SmCo33H,SW Arc,2025-07-30,0.221
10,3,Y-10-3,SmCo33H,SW Arc,2025-08-27,0.0795
10,3,Y-10-3,SmCo33H,SW Arc,2025-10-29,0.2041
10,3,Y-10-3,SmCo33H,SW Arc,2026-01-12,0.0278
10,4,Y-10-4,N52SH,SW Arc,2025-07-30,-0.1078
10,4,Y-10-4,N52SH,SW Arc,2025-08-27,-0.0151
10,4,Y-10-4,N52SH,SW Arc,2025-10-29,0.1101
10,4,Y-10-4,N52SH,SW Arc,2026-01-12,-0.035
11,1,Y-11-1,N42EH,SW Arc,2025-07-30,-0.1444
11,1,Y-11-1,N42EH,SW Arc,2025-08-27,-0.175
11,1,Y-11-1,N42EH,SW Arc,2025-10-29,-0.1465
11,1,Y-11-1,N42EH,SW Arc,2026-01-12,-0.024
11,2,Y-11-2,SmCo33H,SW Arc,2025-07-30,-0.0177
11,2,Y-11-2,SmCo33H,SW Arc,2025-08-27,-0.0453
11,2,Y-11-2,SmCo33H,SW Arc,2025-10-29,0.0837
11,2,Y-11-2,SmCo33H,SW Arc,2026-01-12,0.0514
11,3,Y-11-3,N52SH,SW Arc,2025-07-30,-0.2774
11,3,Y-11-3,N52SH,SW Arc,2025-08-27,-0.1819
11,3,Y-11-3,N52SH,SW Arc,2025-10-29,-0.048
11,3,Y-11-3,N52SH,SW Arc,2026-01-12,0.0134
11,4,Y-11-4,SmCo35,SW Arc,2025-07-30,-0.0356
11,4,Y-11-4,SmCo35,SW Arc,2025-08-27,-0.0889
11,4,Y-11-4,SmCo35,SW Arc,2025-10-29,0.1128
11,4,Y-11-4,SmCo35,SW Arc,2026-01-12,-0.0246
12,1,Y-12-1,N52SH,Labyrinth,2025-07-17,-1.6415
12,1,Y-12-1,N52SH,Labyrinth,2025-08-27,-0.6823
12,1,Y-12-1,N52SH,Labyrinth,2025-10-21,-0.3365
12,1,Y-12-1,N52SH,Labyrinth,2026-01-12,-0.0507
12,2,Y-12-2,SmCo35,Labyrinth,2025-07-17,-1.0008
12,2,Y-12-2,SmCo35,Labyrinth,2025-08-27,-0.3651
12,2,Y-12-2,SmCo35,Labyrinth,2025-10-21,0.0193
12,2,Y-12-2,SmCo35,Labyrinth,2026-01-12,0.0524
12,3,Y-12-3,N42EH,Labyrinth,2025-07-17,-1.4593
12,3,Y-12-3,N42EH,Labyrinth,2025-08-27,-0.6325
12,3,Y-12-3,N42EH,Labyrinth,2025-10-21,-0.2273
12,3,Y-12-3,N42EH,Labyrinth,2026-01-12,-0.1805
12,4,Y-12-4,SmCo33H,Labyrinth,2025-07-17,-0.9518
12,4,Y-12-4,SmCo33H,Labyrinth,2025-08-27,-0.3288
12,4,Y-12-4,SmCo33H,Labyrinth,2025-10-21,-0.0152
12,4,Y-12-4,SmCo33H,Labyrinth,2026-01-12,-0.0537
13,1,Y-13-1,SmCo33H,SW Arc,2025-07-30,0.1404
13,1,Y-13-1,SmCo33H,SW Arc,2025-08-27,-0.1322
13,1,Y-13-1,SmCo33H,SW Arc,2025-10-29,-0.2229
13,1,Y-13-1,SmCo33H,SW Arc,2026-01-12,-0.397
13,2,Y-13-2,N52SH,SW Arc,2025-07-30,-0.7129
13,2,Y-13-2,N52SH,SW Arc,2025-08-27,-0.5198
13,2,Y-13-2,N52SH,SW Arc,2025-10-29,-0.5678
13,2,Y-13-2,N52SH,SW Arc,2026-01-12,-0.6844
13,3,Y-13-3,SmCo35,SW Arc,2025-07-30,-0.8772
13,3,Y-13-3,SmCo35,SW Arc,2025-08-27,-0.3732
13,3,Y-13-3,SmCo35,SW Arc,2025-10-29,-0.2758
13,3,Y-13-3,SmCo35,SW Arc,2026-01-12,-0.5006
13,4,Y-13-4,N42EH,SW Arc,2025-07-30,-0.8077
13,4,Y-13-4,N42EH,SW Arc,2025-08-27,-0.4366
13,4,Y-13-4,N42EH,SW Arc,2025-10-29,-0.4934
13,4,Y-13-4,N42EH,SW Arc,2026-01-12,-0.7704
15,1,Y-15-1,N42EH,SE Arc,2025-07-30,-0.036
15,1,Y-15-1,N42EH,SE Arc,2025-08-27,-0.6816
15,1,Y-15-1,N42EH,SE Arc,2025-10-21,-0.6017
15,1,Y-15-1,N42EH,SE Arc,2026-01-08,-0.2615
15,2,Y-15-2,SmCo33H,SE Arc,2025-07-30,-0.0829
15,2,Y-15-2,SmCo33H,SE Arc,2025-08-27,-0.1333
15,2,Y-15-2,SmCo33H,SE Arc,2025-10-21,-0.2416
15,2,Y-15-2,SmCo33H,SE Arc,2026-01-08,0.1037
15,3,Y-15-3,N52SH,SE Arc,2025-07-30,-0.0629
15,3,Y-15-3,N52SH,SE Arc,2025-08-27,-0.4002
15,3,Y-15-3,N52SH,SE Arc,2025-10-21,-0.5168
15,3,Y-15-3,N52SH,SE Arc,2026-01-08,-0.0686
15,4,Y-15-4,SmCo35,SE Arc,2025-07-30,0.0236
15,4,Y-15-4,SmCo35,SE Arc,2025-08-27,-0.2227
15,4,Y-15-4,SmCo35,SE Arc,2025-10-21,-0.2677
15,4,Y-15-4,SmCo35,SE Arc,2026-01-08,-0.0523
16,1,Y-16-1,N52SH,North Linac,2025-07-17,-0.9255
16,1,Y-16-1,N52SH,North Linac,2025-08-27,-0.4958
16,1,Y-16-1,N52SH,North Linac,2025-10-21,-0.5013
16,1,Y-16-1,N52SH,North Linac,2026-01-12,-0.0437
16,2,Y-16-2,SmCo35,North Linac,2025-07-17,-0.6781
16,2,Y-16-2,SmCo35,North Linac,2025-08-27,-0.2775
16,2,Y-16-2,SmCo35,North Linac,2025-10-21,-0.133
16,2,Y-16-2,SmCo35,North Linac,2026-01-12,0.0784
16,3,Y-16-3,N42EH,North Linac,2025-07-17,-0.9072
16,3,Y-16-3,N42EH,North Linac,2025-08-27,-0.4295
16,3,Y-16-3,N42EH,North Linac,2025-10-21,-0.6067
16,3,Y-16-3,N42EH,North Linac,2026-01-12,-0.1002
16,4,Y-16-4,SmCo33H,North Linac,2025-07-17,-0.7302
16,4,Y-16-4,SmCo33H,North Linac,2025-08-27,-0.2604
16,4,Y-16-4,SmCo33H,North Linac,2025-10-21,-0.1605
16,4,Y-16-4,SmCo33H,North Linac,2026-01-12,0.0813
17,1,Y-17-1,SmCo33H,North Linac,2025-07-17,-0.72
17,1,Y-17-1,SmCo33H,North Linac,2025-08-27,-0.3464
17,1,Y-17-1,SmCo33H,North Linac,2025-10-21,-0.1783
17,1,Y-17-1,SmCo33H,North Linac,2026-01-12,0.0387
17,2,Y-17-2,N52SH,North Linac,2025-07-17,-0.6104
17,2,Y-17-2,N52SH,North Linac,2025-08-27,-0.1945
17,2,Y-17-2,N52SH,North Linac,2025-10-21,-0.3008
17,2,Y-17-2,N52SH,North Linac,2026-01-12,0.2094
17,3,Y-17-3,SmCo35,North Linac,2025-07-17,-0.7032
17,3,Y-17-3,SmCo35,North Linac,2025-08-27,-0.2599
17,3,Y-17-3,SmCo35,North Linac,2025-10-21,-0.1481
17,3,Y-17-3,SmCo35,North Linac,2026-01-12,0.0189
17,4,Y-17-4,N42EH,North Linac,2025-07-17,-0.8291
17,4,Y-17-4,N42EH,North Linac,2025-08-27,-0.7226
17,4,Y-17-4,N42EH,North Linac,2025-10-21,-0.5876
17,4,Y-17-4,N42EH,North Linac,2026-01-12,-0.1651
18,1,Y-18-1,SmCo35,NE Arc,2025-07-17,-0.6519
18,1,Y-18-1,SmCo35,NE Arc,2025-08-27,-0.0628
18,1,Y-18-1,SmCo35,NE Arc,2025-10-23,0.0807
18,1,Y-18-1,SmCo35,NE Arc,2026-01-08,-0.3191
18,2,Y-18-2,N42EH,NE Arc,2025-07-17,-0.8435
18,2,Y-18-2,N42EH,NE Arc,2025-08-27,-0.3843
18,2,Y-18-2,N42EH,NE Arc,2025-10-23,-0.208
18,2,Y-18-2,N42EH,NE Arc,2026-01-08,-0.3518
18,3,Y-18-3,SmCo33H,NE Arc,2025-07-17,-0.6717
18,3,Y-18-3,SmCo33H,NE Arc,2025-08-27,-0.2082
18,3,Y-18-3,SmCo33H,NE Arc,2025-10-23,0.0136
18,3,Y-18-3,SmCo33H,NE Arc,2026-01-08,-0.018
18,4,Y-18-4,N52SH,NE Arc,2025-07-17,-0.7641
18,4,Y-18-4,N52SH,NE Arc,2025-08-27,-0.3266
18,4,Y-18-4,N52SH,NE Arc,2025-10-23,-0.1149
18,4,Y-18-4,N52SH,NE Arc,2026-01-08,-0.1765
19,1,Y-19-1,N42EH,SW Arc,2025-07-30,-0.2552
19,1,Y-19-1,N42EH,SW Arc,2025-08-27,-0.2717
19,1,Y-19-1,N42EH,SW Arc,2025-10-29,-0.2231
19,1,Y-19-1,N42EH,SW Arc,2026-01-12,-0.4236
19,2,Y-19-2,SmCo33H,SW Arc,2025-07-30,-0.1043
19,2,Y-19-2,SmCo33H,SW Arc,2025-08-27,-0.1307
19,2,Y-19-2,SmCo33H,SW Arc,2025-10-29,0.0297
19,2,Y-19-2,SmCo33H,SW Arc,2026-01-12,-0.0768
19,3,Y-19-3,N52SH,SW Arc,2025-07-30,-0.4728
19,3,Y-19-3,N52SH,SW Arc,2025-08-27,-0.2285
19,3,Y-19-3,N52SH,SW Arc,2025-10-29,-0.14
19,3,Y-19-3,N52SH,SW Arc,2026-01-12,-0.3137
19,4,Y-19-4,SmCo35,SW Arc,2025-07-30,-0.0421
19,4,Y-19-4,SmCo35,SW Arc,2025-08-27,-0.3366
19,4,Y-19-4,SmCo35,SW Arc,2025-10-29,0.125
19,4,Y-19-4,SmCo35,SW Arc,2026-01-12,-0.0927
20,1,Y-20-1,N52SH,Labyrinth,2025-07-30,1.3002
20,1,Y-20-1,N52SH,Labyrinth,2025-08-27,-0.7543
20,1,Y-20-1,N52SH,Labyrinth,2025-10-21,-0.6884
20,1,Y-20-1,N52SH,Labyrinth,2026-01-12,-0.1607
20,2,Y-20-2,SmCo35,Labyrinth,2025-07-30,0.2674
20,2,Y-20-2,SmCo35,Labyrinth,2025-08-27,-0.401
20,2,Y-20-2,SmCo35,Labyrinth,2025-10-21,-0.4037
20,2,Y-20-2,SmCo35,Labyrinth,2026-01-12,-0.1202
20,3,Y-20-3,N42EH,Labyrinth,2025-07-30,-0.1449
20,3,Y-20-3,N42EH,Labyrinth,2025-08-27,-0.8952
20,3,Y-20-3,N42EH,Labyrinth,2025-10-21,-0.5583
20,3,Y-20-3,N42EH,Labyrinth,2026-01-12,-0.2492
20,4,Y-20-4,SmCo33H,Labyrinth,2025-07-30,-1.1677
20,4,Y-20-4,SmCo33H,Labyrinth,2025-08-27,-0.1902
20,4,Y-20-4,SmCo33H,Labyrinth,2025-10-21,-0.0269
20,4,Y-20-4,SmCo33H,Labyrinth,2026-01-12,0.0619
21,1,Y-21-1,SmCo33H,NE Arc,2025-07-17,-1.0106
21,1,Y-21-1,SmCo33H,NE Arc,2025-08-27,-0.2725
21,1,Y-21-1,SmCo33H,NE Arc,2025-10-23,0.0408
21,1,Y-21-1,SmCo33H,NE Arc,2026-01-08,-0.059
21,2,Y-21-2,N52SH,NE Arc,2025-07-17,-1.0753
21,2,Y-21-2,N52SH,NE Arc,2025-08-27,-0.5663
21,2,Y-21-2,N52SH,NE Arc,2025-10-23,-0.1797
21,2,Y-21-2,N52SH,NE Arc,2026-01-08,-0.2096
21,3,Y-21-3,SmCo35,NE Arc,2025-07-17,-0.7795
21,3,Y-21-3,SmCo35,NE Arc,2025-08-27,-0.2661
21,3,Y-21-3,SmCo35,NE Arc,2025-10-23,-0.0666
21,3,Y-21-3,SmCo35,NE Arc,2026-01-08,-0.0167
21,4,Y-21-4,N42EH,NE Arc,2025-07-17,-1.0011
21,4,Y-21-4,N42EH,NE Arc,2025-08-27,-0.595
21,4,Y-21-4,N42EH,NE Arc,2025-10-23,-0.2773
21,4,Y-21-4,N42EH,NE Arc,2026-01-08,-0.28
22,1,Y-22-1,SmCo35,North Linac,2025-07-17,-0.7247
22,1,Y-22-1,SmCo35,North Linac,2025-08-27,-0.244
22,1,Y-22-1,SmCo35,North Linac,2025-10-21,0.0351
22,1,Y-22-1,SmCo35,North Linac,2026-01-12,0.2348
22,2,Y-22-2,N42EH,North Linac,2025-07-17,-1.0395
22,2,Y-22-2,N42EH,North Linac,2025-08-27,-0.4796
22,2,Y-22-2,N42EH,North Linac,2025-10-21,-0.3376
22,2,Y-22-2,N42EH,North Linac,2026-01-12,-0.0742
22,3,Y-22-3,SmCo33H,North Linac,2025-07-17,-1.0623
22,3,Y-22-3,SmCo33H,North Linac,2025-08-27,-0.2645
22,3,Y-22-3,SmCo33H,North Linac,2025-10-21,-0.2302
22,3,Y-22-3,SmCo33H,North Linac,2026-01-12,-0.0136
22,4,Y-22-4,N52SH,North Linac,2025-07-17,-0.9643
22,4,Y-22-4,N52SH,North Linac,2025-08-27,-0.4654
22,4,Y-22-4,N52SH,North Linac,2025-10-21,-0.4692
22,4,Y-22-4,N52SH,North Linac,2026-01-12,-0.0087
23,1,Y-23-1,N42EH,SE Arc,2025-07-30,-0.0905
23,1,Y-23-1,N42EH,SE Arc,2025-08-27,-0.4018
23,1,Y-23-1,N42EH,SE Arc,2025-10-21,-0.3036
23,1,Y-23-1,N42EH,SE Arc,2026-01-08,-0.1364
23,2,Y-23-2,SmCo33H,SE Arc,2025-07-30,0.1704
23,2,Y-23-2,SmCo33H,SE Arc,2025-08-27,0.0358
23,2,Y-23-2,SmCo33H,SE Arc,2025-10-21,-0.1513
23,2,Y-23-2,SmCo33H,SE Arc,2026-01-08,-0.0928
23,3,Y-23-3,N52SH,SE Arc,2025-07-30,-0.0587
23,3,Y-23-3,N52SH,SE Arc,2025-08-27,-0.2392
23,3,Y-23-3,N52SH,SE Arc,2025-10-21,-0.2387
23,3,Y-23-3,N52SH,SE Arc,2026-01-08,-0.0583
23,4,Y-23-4,SmCo35,SE Arc,2025-07-30,0.0862
23,4,Y-23-4,SmCo35,SE Arc,2025-08-27,-0.0843
23,4,Y-23-4,SmCo35,SE Arc,2025-10-21,0.0433
23,4,Y-23-4,SmCo35,SE Arc,2026-01-08,-0.0308
24,1,Y-24-1,N52SH,South Linac,2025-07-30,-0.3545
24,1,Y-24-1,N52SH,South Linac,2025-08-27,-0.4385
24,1,Y-24-1,N52SH,South Linac,2025-10-21,-0.2798
24,1,Y-24-1,N52SH,South Linac,2026-01-12,-0.0008
24,2,Y-24-2,SmCo35,South Linac,2025-07-30,-0.081
24,2,Y-24-2,SmCo35,South Linac,2025-08-27,-0.067
24,2,Y-24-2,SmCo35,South Linac,2025-10-21,0.0473
24,2,Y-24-2,SmCo35,South Linac,2026-01-12,0.098
24,3,Y-24-3,N42EH,South Linac,2025-07-30,-0.2149
24,3,Y-24-3,N42EH,South Linac,2025-08-27,-0.542
